id,event_time,zipcode,price,bedrooms,bathrooms,sqft_living,city,state,county,price_per_sqft,avg_price_by_city,avg_price_per_sqft_by_city,above_avg_price_per_sqft
4f35ec98-a55c-45f6-a820-f7c8ab81b2b1,2024-10-27T17:39:31Z,90245.0,1699000.0,3.0,3.0,2500.0,El Segundo,California,Unknown,679.6,1699000.0,679.6,0
a9e31ba8-02a6-42b9-94d2-ed4f18dfe801,2024-10-27T17:39:31Z,80212.0,850000.0,3.0,2.0,1626.0,Denver,Colorado,Denver,522.7552275522755,806726.5898566704,427.6669946013823,1
9787a8ea-5c6e-4583-87bb-e2f33565d95a,2024-10-27T17:39:31Z,80211.0,950000.0,5.0,3.0,3035.0,Denver,Colorado,Denver,313.01482701812193,806726.5898566704,427.6669946013823,0
b5f3cc64-805e-4b7f-b131-d11d79968b13,2024-10-27T17:39:31Z,79938.0,239990.0,3.0,2.0,1601.0,El Paso,Texas,El Paso,149.9000624609619,298545.9697322468,154.85224141258956,0
3fe5aa13-05e0-4ea3-b997-66a396701500,2024-10-27T17:39:31Z,77080.0,239000.0,3.0,3.0,2500.0,Houston,Texas,Unknown,95.6,505753.30019880715,210.03835175981686,0
89e556c7-547f-47b0-bc42-3940c2ce350c,2024-10-27T17:39:31Z,Unknown,334931.0,2.0,1.0,4789.0,Unknown,Unknown,Unknown,69.93756525370641,537676.855,270.8086902008121,0
e79fb2dd-4e8c-4468-ae89-645762683bc1,2024-10-27T17:39:31Z,11418.0,2850000.0,3.0,3.0,2500.0,Kew Gardens,New York,Unknown,1140.0,1525000.0,733.1321370309951,1
8c05c8b9-7163-4daf-867b-e8fcbe448962,2024-10-27T17:39:31Z,79902.0,373140.0,4.0,3.0,2339.0,El Paso,Texas,El Paso,159.52971355280033,298545.9697322468,154.85224141258956,1
fa56d1ac-face-44f7-990c-12060370b86c,2024-10-27T17:39:31Z,79938.0,230000.0,3.0,2.0,1443.0,El Paso,Texas,El Paso,159.3901593901594,298545.9697322468,154.85224141258956,1
7a7a8fbd-c872-4177-b5f4-67918ef32b1f,2024-10-27T17:39:31Z,76001.0,435000.0,4.0,4.0,1493.0,Arlington,Texas,Tarrant,291.3596784996651,391340.0974025974,190.84564052547321,1
