zipcode,price,bedrooms,bathrooms,sqft_living,city,state,county
10309.0,1299900.0,4.0,3.0,2880.0,Staten Island,New York,Richmond
10309.0,499999.0,2.0,1.0,1100.0,Staten Island,New York,Richmond
10309.0,1378000.0,4.0,4.0,2920.0,Staten Island,New York,Richmond
10309.0,739999.0,3.0,2.0,1008.0,Staten Island,New York,Richmond
10310.0,1750000.0,4.0,4.0,4500.0,Staten Island,New York,Richmond
10310.0,839000.0,3.0,3.0,1680.0,Staten Island,New York,Richmond
10310.0,549899.0,2.0,1.0,1243.0,Staten Island,New York,Richmond
10310.0,699999.0,3.0,2.0,1649.0,Staten Island,New York,Richmond
10310.0,629000.0,4.0,3.0,1216.0,Staten Island,New York,Richmond
10310.0,699000.0,4.0,3.0,1838.0,Staten Island,New York,Richmond
10310.0,549000.0,3.0,2.0,1450.0,Staten Island,New York,Richmond
10310.0,499999.0,3.0,3.0,1140.0,Staten Island,New York,Richmond
10312.0,869000.0,4.0,2.0,2000.0,Staten Island,New York,Richmond
10312.0,1488888.0,4.0,4.0,2650.0,Staten Island,New York,Richmond
10312.0,824888.0,3.0,2.0,2510.0,Staten Island,New York,Richmond
10312.0,549999.0,2.0,2.0,1530.0,Staten Island,New York,Richmond
10312.0,599000.0,2.0,2.0,1350.0,Staten Island,New York,Richmond
10312.0,264900.0,1.0,1.0,717.0,Staten Island,New York,Richmond
10312.0,688000.0,3.0,2.0,1280.0,Staten Island,New York,Richmond
10312.0,1299999.0,4.0,4.0,3552.0,Staten Island,New York,Richmond
10312.0,1299999.0,4.0,4.0,3552.0,Staten Island,New York,Richmond
10312.0,1095000.0,5.0,2.0,2250.0,Staten Island,New York,Richmond
10312.0,478000.0,4.0,3.0,1524.0,Staten Island,New York,Richmond
10312.0,1195000.0,4.0,3.0,2450.0,Staten Island,New York,Richmond
10312.0,725000.0,3.0,2.0,2068.0,Staten Island,New York,Richmond
10312.0,330948.0,1.0,2.0,1059.0,Staten Island,New York,Richmond
10312.0,1099999.0,6.0,5.0,2970.0,Staten Island,New York,Richmond
10312.0,699999.0,3.0,2.0,1440.0,Staten Island,New York,Richmond
10312.0,899900.0,3.0,3.0,2242.0,Staten Island,New York,Richmond
10312.0,499999.0,3.0,2.0,1510.0,Staten Island,New York,Richmond
10312.0,725000.0,3.0,2.0,2068.0,Staten Island,New York,Richmond
10312.0,264900.0,1.0,1.0,717.0,Staten Island,New York,Richmond
10312.0,935000.0,4.0,4.0,3626.0,Staten Island,New York,Richmond
10312.0,789000.0,3.0,3.0,1480.0,Staten Island,New York,Richmond
10312.0,999312.0,4.0,4.0,2100.0,Staten Island,New York,Richmond
10312.0,869000.0,4.0,3.0,2548.0,Staten Island,New York,Richmond
10312.0,499999.0,3.0,2.0,1510.0,Staten Island,New York,Richmond
10312.0,688888.0,3.0,2.0,2112.0,Staten Island,New York,Richmond
10312.0,608000.0,2.0,3.0,2176.0,Staten Island,New York,Richmond
10312.0,478000.0,4.0,3.0,1524.0,Staten Island,New York,Richmond
10314.0,449900.0,2.0,2.0,1082.0,Staten Island,New York,Richmond
10314.0,499888.0,3.0,2.0,1890.0,Staten Island,New York,Richmond
10314.0,899000.0,4.0,2.0,1884.0,Staten Island,New York,Richmond
10314.0,479900.0,2.0,2.0,1138.0,Staten Island,New York,Richmond
10314.0,549999.0,2.0,2.0,1158.0,Staten Island,New York,Richmond
10314.0,1350000.0,3.0,3.0,2800.0,Staten Island,New York,Richmond
10314.0,749999.0,3.0,4.0,1450.0,Staten Island,New York,Richmond
10314.0,685000.0,3.0,4.0,1632.0,Staten Island,New York,Richmond
10314.0,799000.0,3.0,2.0,1092.0,Staten Island,New York,Richmond
10314.0,749900.0,3.0,3.0,1987.0,Staten Island,New York,Richmond
10314.0,1200000.0,4.0,3.0,2173.0,Staten Island,New York,Richmond
10314.0,1089000.0,5.0,4.0,2552.0,Staten Island,New York,Richmond
10314.0,608888.0,3.0,3.0,1500.0,Staten Island,New York,Richmond
10314.0,725000.0,3.0,1.0,1440.0,Staten Island,New York,Richmond
10314.0,710000.0,3.0,2.0,1528.0,Staten Island,New York,Richmond
10314.0,638888.0,3.0,2.0,1410.0,Staten Island,New York,Richmond
10314.0,869888.0,4.0,3.0,2800.0,Staten Island,New York,Richmond
10314.0,1089000.0,5.0,4.0,2552.0,Staten Island,New York,Richmond
10314.0,549000.0,3.0,2.0,1752.0,Staten Island,New York,Richmond
10314.0,425000.0,2.0,1.0,907.0,Staten Island,New York,Richmond
10314.0,995000.0,5.0,3.0,2484.0,Staten Island,New York,Richmond
10314.0,834900.0,3.0,4.0,1542.0,Staten Island,New York,Richmond
10314.0,569000.0,2.0,2.0,1812.0,Staten Island,New York,Richmond
10314.0,549000.0,2.0,2.0,1500.0,Staten Island,New York,Richmond
10314.0,899000.0,3.0,4.0,2208.0,Staten Island,New York,Richmond
10314.0,799000.0,3.0,2.0,1092.0,Staten Island,New York,Richmond
10314.0,449999.0,2.0,2.0,1480.0,Staten Island,New York,Richmond
10314.0,599000.0,3.0,1.0,1050.0,Staten Island,New York,Richmond
10314.0,1295000.0,3.0,2.0,2412.0,Staten Island,New York,Richmond
10314.0,449900.0,3.0,2.0,1286.0,Staten Island,New York,Richmond
10314.0,710000.0,3.0,2.0,1500.0,Staten Island,New York,Richmond
10314.0,569000.0,3.0,2.0,1260.0,Staten Island,New York,Richmond
10314.0,1149000.0,4.0,2.0,2484.0,Staten Island,New York,Richmond
10314.0,425000.0,2.0,1.0,1300.0,Staten Island,New York,Richmond
10451.0,325000.0,1.0,1.0,805.0,Bronx,New York,Bronx
10452.0,999999.0,6.0,3.0,2520.0,Bronx,New York,Bronx
10452.0,159999.0,1.0,1.0,650.0,Bronx,New York,Bronx
10454.0,979000.0,6.0,3.0,2280.0,Bronx,New York,Bronx
10455.0,359000.0,3.0,2.0,1067.0,Bronx,New York,Bronx
10456.0,69000.0,1.0,1.0,700.0,Bronx,New York,Bronx
10456.0,375000.0,3.0,2.0,1067.0,Bronx,New York,Bronx
10458.0,235000.0,2.0,1.0,1000.0,Bronx,New York,Bronx
10459.0,130000.0,1.0,1.0,500.0,Bronx,New York,Bronx
10459.0,595000.0,6.0,3.0,2646.0,Bronx,New York,Bronx
10459.0,595000.0,6.0,3.0,2646.0,Bronx,New York,Bronx
10460.0,925000.0,8.0,5.0,3603.0,Bronx,New York,Bronx
10461.0,649000.0,3.0,2.0,1700.0,Bronx,New York,Bronx
10461.0,649000.0,4.0,2.0,1292.0,Bronx,New York,Bronx
10461.0,968000.0,4.0,3.0,2600.0,Bronx,New York,Bronx
10461.0,145000.0,1.0,1.0,680.0,Bronx,New York,Bronx
10462.0,285000.0,2.0,1.0,850.0,Bronx,New York,Bronx
10462.0,1175000.0,8.0,3.0,3312.0,Bronx,New York,Bronx
10462.0,149000.0,1.0,1.0,550.0,Bronx,New York,Bronx
10462.0,115000.0,1.0,1.0,750.0,Bronx,New York,Bronx
10462.0,115000.0,1.0,1.0,750.0,Bronx,New York,Bronx
10462.0,169000.0,1.0,2.0,800.0,Bronx,New York,Bronx
10463.0,135000.0,1.0,1.0,700.0,Bronx,New York,Bronx
10463.0,135000.0,1.0,1.0,700.0,Bronx,New York,Bronx
10463.0,499000.0,4.0,2.0,1752.0,Bronx,New York,Bronx
10463.0,339000.0,1.0,1.0,800.0,Bronx,New York,Bronx
10463.0,659999.0,3.0,2.0,1180.0,Bronx,New York,Bronx
10463.0,425000.0,2.0,2.0,800.0,Bronx,New York,Bronx
10463.0,153000.0,1.0,1.0,725.0,Bronx,New York,Bronx
10463.0,345000.0,2.0,1.0,1000.0,Bronx,New York,Bronx
10464.0,779000.0,4.0,2.0,1800.0,Bronx,New York,Bronx
10465.0,495000.0,2.0,2.0,684.0,Bronx,New York,Bronx
10465.0,699999.0,3.0,3.0,1895.0,Bronx,New York,Bronx
10465.0,299999.0,2.0,1.0,857.0,Bronx,New York,Bronx
10465.0,789000.0,3.0,2.0,1100.0,Bronx,New York,Bronx
10466.0,839000.0,8.0,2.0,3432.0,Bronx,New York,Bronx
10466.0,939000.0,7.0,3.0,2961.0,Bronx,New York,Bronx
10466.0,525000.0,2.0,1.0,914.0,Bronx,New York,Bronx
10466.0,715000.0,3.0,2.0,1408.0,Bronx,New York,Bronx
10466.0,550000.0,3.0,2.0,1648.0,Bronx,New York,Bronx
10467.0,281111.0,2.0,1.0,975.0,Bronx,New York,Bronx
10468.0,165000.0,1.0,1.0,775.0,Bronx,New York,Bronx
10468.0,175000.0,1.0,1.0,750.0,Bronx,New York,Bronx
10468.0,209900.0,1.0,1.0,760.0,Bronx,New York,Bronx
10468.0,209900.0,1.0,1.0,760.0,Bronx,New York,Bronx
10469.0,800000.0,7.0,2.0,3080.0,Bronx,New York,Bronx
10469.0,610000.0,3.0,2.0,1813.0,Bronx,New York,Bronx
10469.0,599000.0,4.0,2.0,1814.0,Bronx,New York,Bronx
10469.0,800000.0,7.0,2.0,3080.0,Bronx,New York,Bronx
10469.0,999000.0,4.0,3.0,2270.0,Bronx,New York,Bronx
10469.0,599999.0,3.0,2.0,1200.0,Bronx,New York,Bronx
10469.0,1100000.0,7.0,5.0,4872.0,Bronx,New York,Bronx
10470.0,499000.0,2.0,2.0,1350.0,Bronx,New York,Bronx
10470.0,255000.0,2.0,1.0,950.0,Bronx,New York,Bronx
10470.0,159000.0,1.0,1.0,750.0,Bronx,New York,Bronx
10471.0,8250000.0,6.0,10.0,11000.0,Bronx,New York,Bronx
10471.0,299999.0,2.0,1.0,1000.0,Bronx,New York,Bronx
10471.0,6500000.0,8.0,9.0,9000.0,Bronx,New York,Bronx
10471.0,729000.0,3.0,2.0,1500.0,Bronx,New York,Bronx
10472.0,975799.0,6.0,4.0,2864.0,Bronx,New York,Bronx
10472.0,975799.0,6.0,4.0,2864.0,Bronx,New York,Bronx
10472.0,899000.0,6.0,3.0,2522.0,Bronx,New York,Bronx
10472.0,834000.0,6.0,3.0,2950.0,Bronx,New York,Bronx
10473.0,750000.0,5.0,2.0,2604.0,Bronx,New York,Bronx
10473.0,280000.0,2.0,2.0,868.0,Bronx,New York,Bronx
10475.0,260000.0,2.0,1.0,916.0,Bronx,New York,Bronx
11001.0,750000.0,3.0,2.0,1697.0,Floral Park,New York,Nassau
11004.0,249900.0,1.0,1.0,585.0,Glen Oaks,New York,Queens
11005.0,449000.0,1.0,2.0,1213.0,Floral Park,New York,Queens
11005.0,695000.0,2.0,3.0,1549.0,Floral Park,New York,Queens
11005.0,695000.0,2.0,3.0,1549.0,Floral Park,New York,Queens
11103.0,1299000.0,5.0,2.0,1680.0,Astoria,New York,Queens
11103.0,1049000.0,3.0,2.0,1494.0,Astoria,New York,Queens
11104.0,1539000.0,4.0,3.0,1400.0,Sunnyside,New York,Queens
11104.0,1539000.0,4.0,3.0,1400.0,Sunnyside,New York,Queens
11105.0,270000.0,2.0,1.0,700.0,Astoria,New York,Queens
11105.0,270000.0,2.0,1.0,700.0,Astoria,New York,Queens
11106.0,375000.0,1.0,1.0,700.0,Astoria,New York,Queens
11106.0,385000.0,1.0,1.0,700.0,Astoria,New York,Queens
11106.0,385000.0,1.0,1.0,700.0,Astoria,New York,Queens
11109.0,800000.0,2.0,2.0,1050.0,Long Island City,New York,Queens
11109.0,850000.0,2.0,2.0,1003.0,Long Island City,New York,Queens
11109.0,747999.0,2.0,2.0,1103.0,Long Island City,New York,Queens
11201.0,925000.0,2.0,1.0,1200.0,Brooklyn,New York,Kings
11201.0,895000.0,2.0,1.0,900.0,Brooklyn,New York,Kings
11201.0,895000.0,2.0,1.0,900.0,Brooklyn,New York,Kings
11203.0,949000.0,4.0,3.0,2217.0,Brooklyn,New York,Kings
11203.0,849000.0,5.0,3.0,1920.0,Brooklyn,New York,Kings
11203.0,949000.0,4.0,3.0,2217.0,Brooklyn,New York,Kings
11204.0,1890000.0,6.0,5.0,1100.0,Brooklyn,New York,Kings
11204.0,1899999.0,5.0,5.0,2400.0,Brooklyn,New York,Kings
11204.0,1980000.0,5.0,3.0,1850.0,Brooklyn,New York,Kings
11204.0,949900.0,3.0,2.0,1404.0,Brooklyn,New York,Kings
11204.0,1599000.0,7.0,3.0,2152.0,Brooklyn,New York,Kings
11204.0,1080000.0,4.0,3.0,1692.0,Brooklyn,New York,Kings
11204.0,1388888.0,3.0,2.0,1440.0,Brooklyn,New York,Kings
11204.0,1388888.0,3.0,2.0,1440.0,Brooklyn,New York,Kings
11204.0,1648000.0,6.0,4.0,1540.0,Brooklyn,New York,Kings
11207.0,755777.0,4.0,3.0,1830.0,Brooklyn,New York,Kings
11207.0,549999.0,2.0,1.0,1088.0,Brooklyn,New York,Kings
11207.0,925000.0,6.0,3.0,2880.0,Brooklyn,New York,Kings
11207.0,439000.0,2.0,2.0,836.0,Brooklyn,New York,Kings
11208.0,449944.0,2.0,1.0,889.0,Brooklyn,New York,Kings
11208.0,636000.0,5.0,3.0,2000.0,Brooklyn,New York,Kings
11209.0,359000.0,1.0,1.0,800.0,Brooklyn,New York,Kings
11209.0,1599000.0,4.0,3.0,1900.0,Brooklyn,New York,Kings
11209.0,1495000.0,3.0,2.0,1700.0,Brooklyn,New York,Kings
11209.0,3000.0,3.0,1.0,2200.0,Brooklyn,New York,Kings
11209.0,398000.0,1.0,1.0,1073.0,Brooklyn,New York,Kings
11209.0,1100000.0,4.0,3.0,1980.0,Brooklyn,New York,Kings
11209.0,368000.0,1.0,1.0,800.0,Brooklyn,New York,Kings
11209.0,1100000.0,4.0,3.0,1600.0,Brooklyn,New York,Kings
11209.0,389000.0,1.0,1.0,800.0,Brooklyn,New York,Kings
11209.0,3000.0,3.0,2.0,1100.0,Brooklyn,New York,Kings
11209.0,499000.0,2.0,1.0,825.0,Brooklyn,New York,Kings
